ProductId,Id1,Id2,Id3,Id4,ProductName,Brand,Category,SubCategory,ChildCategory,BundleId1,Bundle1,MOQ1,Price1,Bundle2,MOQ2,Price2,Bundle3,MOQ3,Price3,Bundle4,MOQ4,Price4
1275,0,0,0,0,Archer C64 x 5,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1065,176,177,0,0,Archer C6U,TP-Link,Routers,AC Router,,0,Offer 1,1,2125,Offer 2,20,2025,,0,0,,0,0
1068,0,0,0,0,Archer C6U*20,TP-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
1891,0,0,0,0,ARCHER C7,TP-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
1289,0,0,0,0,Archer C80,TP-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
1309,0,0,0,0,Archer C80 x 2,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1310,0,0,0,0,Archer C80 x 5,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1820,0,0,0,0,ARCHER C9,TP-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
1286,0,0,0,0,Archer MR200,TP-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
1301,0,0,0,0,Archer MR200 x 2,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1302,0,0,0,0,Archer MR200 x 5,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1897,0,0,0,0,ARCHER T2E,TP-Link,Routers,"USB Adapter ",,0,,0,0,,0,0,,0,0,,0,0
1558,0,0,0,0,Archer T2U Nano,TP-Link,Routers,"USB Adapter ",,0,,0,0,,0,0,,0,0,,0,0
1564,0,0,0,0,Archer T2U Nano x 7,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1835,0,0,0,0,ARCHER T2U PLUS,TP-Link,Routers,"USB Adapter ",,0,,0,0,,0,0,,0,0,,0,0
1855,0,0,0,0,ARCHER T600U NANO,TP-Link,Routers,"USB Adapter ",,0,,0,0,,0,0,,0,0,,0,0
1546,0,0,0,0,Archer T6E,TP-Link,Routers,"USB Adapter ",,0,,0,0,,0,0,,0,0,,0,0
1810,0,0,0,0,ARCHER T6E,TP-Link,Adapter,POE Adapters,12V,0,,0,0,,0,0,,0,0,,0,0
336,0,0,0,0,Aruba AP11,Aruba,Wireless,Access point,,0,,0,0,,0,0,,0,0,,0,0
340,0,0,0,0,Aruba AP11D,Aruba,Wireless,Access point,,0,,0,0,,0,0,,0,0,,0,0
337,0,0,0,0,Aruba AP12,Aruba,Wireless,Access point,,0,,0,0,,0,0,,0,0,,0,0
339,0,0,0,0,Aruba AP15,Aruba,Wireless,Access point,,0,,0,0,,0,0,,0,0,,0,0
341,0,0,0,0,Aruba AP17,Aruba,WISP,,,0,,0,0,,0,0,,0,0,,0,0
338,0,0,0,0,Aruba AP22,Aruba,Wireless,Access point,,0,,0,0,,0,0,,0,0,,0,0
1375,0,0,0,0,AX R15,D-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
1428,0,0,0,0,"AX R15 x 5 ",D-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1846,0,0,0,0,AX1500,D-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
162,0,0,0,0,"BaseBox 2 ",Mikrotik,WISP,,,0,,0,0,,0,0,,0,0,,0,0
495,0,0,0,0,BC-2020S-CLV Fiber Cleaver,DBC,FTTH,Peripherals,,0,,0,0,,0,0,,0,0,,0,0
486,0,0,0,0,BC-21-SPLT-04 Splicing machine,DBC,"Splicing Machine ",,,0,,0,0,,0,0,,0,0,,0,0
487,0,0,0,0,BC-21-SPLT-06 Splicing machine,DBC,"Splicing Machine ",,,0,,0,0,,0,0,,0,0,,0,0
518,0,0,0,0,BC-315A VFL 10km,"Un-Branded ",Testing,VFL,,0,,0,0,,0,0,,0,0,,0,0
605,0,0,0,0,BC-315A VFL 20km,"Un-Branded ",Testing,VFL,,0,,0,0,,0,0,,0,0,,0,0
606,0,0,0,0,BC-315A VFL 30km,"Un-Branded ",Testing,VFL,,0,,0,0,,0,0,,0,0,,0,0
519,0,0,0,0,BC-336FI Optical Line Identifier,DBC,FTTH,Peripherals,,0,,0,0,,0,0,,0,0,,0,0
1865,0,0,0,0,BC-PLC 1-2-W/C-SC/UPC-PT,DBC,PLC Splitters,"With connector ",,0,,0,0,,0,0,,0,0,,0,0
1889,0,0,0,0,BC-PLC 1-4W/CSC/UPC-PT,DBC,PLC Splitters,"With connector ",,0,,0,0,,0,0,,0,0,,0,0
1807,0,0,0,0,BC-PLC-1 : 8-W/C-SC/APC,Secureye,PLC Splitters,"Cassette Type ",,0,,0,0,,0,0,,0,0,,0,0
1882,0,0,0,0,BC-PLC-1-16-W/C-SC/UPC-0.9,DBC,Ratio Couplers,Without Window,,0,,0,0,,0,0,,0,0,,0,0
1862,0,0,0,0,BC-PLC-1-4-W/C-SC/APC,DBC,PLC Splitters,"With connector ",,0,,0,0,,0,0,,0,0,,0,0
1863,0,0,0,0,BC-PLC-1-4-W/C-SC/UPC .09,DBC,PLC Splitters,"With connector ",,0,,0,0,,0,0,,0,0,,0,0
1903,0,0,0,0,BC-PLC-1-8-W/C-SC/APC,DBC,PLC Splitters,"With connector ",,0,,0,0,,0,0,,0,0,,0,0
1861,0,0,0,0,BC-PLC-1-8-Wo/c-0.9,DBC,PLC Splitters,Without Connector,,0,,0,0,,0,0,,0,0,,0,0
1905,0,0,0,0,BC-PLC1-16W/CSC/APC-PT,DBC,PLC Splitters,"Cassette Type ",,0,,0,0,,0,0,,0,0,,0,0
1904,0,0,0,0,BC-PLC1-16W/CSC/UPC-PT,DBC,PLC Splitters,"Cassette Type ",,0,,0,0,,0,0,,0,0,,0,0
1875,0,0,0,0,BC-SC/APC ADP,DBC,Connectors,BNC,,0,,0,0,,0,0,,0,0,,0,0
1888,0,0,0,0,BC-SC/UPC-S3-L5,DBC,Patch cords,Simplex,SC-SC Connector,0,,0,0,,0,0,,0,0,,0,0
1876,0,0,0,0,BC-SC/UPC-S3-PTC 5Meters,DBC,Patch cords,Simplex,,0,,0,0,,0,0,,0,0,,0,0
484,0,0,0,0,BC2050E(D),DBC,FTTH,"Testing Equipment ",,0,,0,0,,0,0,,0,0,,0,0
500,0,0,0,0,"BC323POV PON Meter ",DBC,FTTH,"Testing Equipment ",,0,,0,0,,0,0,,0,0,,0,0
483,0,0,0,0,BC323PV-BR,DBC,FTTH,"Testing Equipment ",,0,,0,0,,0,0,,0,0,,0,0
501,0,0,0,0,BC328 Optical Power Meter,DBC,FTTH,"Testing Equipment ",,0,,0,0,,0,0,,0,0,,0,0
1452,178,179,180,181,BDN-05/95-WoC,Beldon,Ratio Couplers,Without Window,,0,Offer 1,1,120,Offer 2,5,100,Offer 3,20,80,Offer 4,100,50
1455,182,183,184,185,BDN-10/90-WoC,Beldon,Ratio Couplers,Without Window,,0,Offer 1,1,120,Offer 2,5,100,Offer 3,20,80,Offer 4,100,50
1488,0,0,0,0,BDN-10/90-WoC x 10,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1489,0,0,0,0,BDN-10/90-WoC x 20,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1456,186,187,188,189,BDN-15/85-WoC,Beldon,Ratio Couplers,Without Window,,0,Offer 1,1,120,Offer 2,5,100,Offer 3,20,80,Offer 4,100,50
1486,0,0,0,0,BDN-15/85-WoC x 10,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1487,0,0,0,0,BDN-15/85-WoC x 20,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1458,190,191,192,193,BDN-20/80-WoC,Beldon,Ratio Couplers,Without Window,,0,Offer 1,1,120,Offer 2,5,100,Offer 3,20,80,Offer 4,100,50
1482,0,0,0,0,BDN-20/80-WoC x 10,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1483,0,0,0,0,BDN-20/80-WoC x 20,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1454,194,195,196,197,BDN-25/75-WoC,Beldon,Ratio Couplers,Without Window,,0,Offer 1,1,120,Offer 2,5,100,Offer 3,20,80,Offer 4,100,50
1490,0,0,0,0,BDN-25/75-WoC x 10,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1491,0,0,0,0,BDN-25/75-WoC x 20,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1453,198,199,200,201,BDN-30/70-WoC,Beldon,Ratio Couplers,Without Window,,0,Offer 1,1,120,Offer 2,5,100,Offer 3,20,80,Offer 4,100,50
1492,0,0,0,0,BDN-30/70-WoC x 10,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1493,0,0,0,0,BDN-30/70-WoC x 20,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1459,202,203,204,205,BDN-35/65-WoC,Beldon,Ratio Couplers,Without Window,,0,Offer 1,1,120,Offer 2,5,100,Offer 3,20,80,Offer 4,100,50
1480,0,0,0,0,BDN-35/65-WoC x 10,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1481,0,0,0,0,BDN-35/65-WoC x 20,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1457,206,207,208,209,BDN-40/60-WoC,Beldon,Ratio Couplers,Without Window,,0,Offer 1,1,120,Offer 2,5,100,Offer 3,20,80,Offer 4,100,50
1484,0,0,0,0,BDN-40/60-WoC x 10,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1485,0,0,0,0,BDN-40/60-WoC x 20,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1451,210,211,212,213,BDN-50/50-WoC,Beldon,Ratio Couplers,Without Window,,0,Offer 1,1,120,Offer 2,5,100,Offer 3,20,80,Offer 4,100,50
1496,0,0,0,0,BDN-50/50-WoC x 10,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1497,0,0,0,0,BDN-50/50-WoC x 20,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1396,0,0,0,0,Belden Sleeve,Beldon,Accessories,Sleeves,,0,,0,0,,0,0,,0,0,,0,0
1422,0,0,0,0,Belden Sleeve x 10000,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1421,0,0,0,0,Belden Sleeve x 5000,Beldon,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
488,0,0,0,0,BGC-SF1310-20-BCH A Giga Media Converter,DBC,Switches,Media Converter,10/100/1000,0,,0,0,,0,0,,0,0,,0,0
870,0,0,0,0,BGC-SF1550-20-BCH B Giga Media Converter,DBC,Switches,Media Converter,10/100/1000,0,,0,0,,0,0,,0,0,,0,0
1364,0,0,0,0,Birla 48F,"Birla ",Fibres,Multitube,Un-Armoured,0,,0,0,,0,0,,0,0,,0,0
1408,0,0,0,0,Birla 48F x 2km,"Birla ",,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1409,0,0,0,0,Birla 48F x 4km,"Birla ",,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1376,0,0,0,0,Birla Cat6,"Birla ",Cat Cables,Cat6 Cable,4 Pair,0,,0,0,,0,0,,0,0,,0,0
1654,0,0,0,0,BL-SF801,Huawei,Switches,10-100 Switches,,0,,0,0,,0,0,,0,0,,0,0
898,0,0,0,0,"BMC-SF1310-A Giga Media Converter 1Units Bundle ",Mercusys,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
508,0,0,0,0,BMC-SF1310-A Media Converter,DBC,Switches,Media Converter,10/100,0,,0,0,,0,0,,0,0,,0,0
869,0,0,0,0,BMC-SF1550-B Media Converter,DBC,Switches,Media Converter,10/100,0,,0,0,,0,0,,0,0,,0,0
325,0,0,0,0,Cambium PTP 550,Cambium,WISP,,,0,,0,0,,0,0,,0,0,,0,0
151,0,0,0,0,"CAP ",Mikrotik,Wireless,Access point,,0,,0,0,,0,0,,0,0,,0,0
148,0,0,0,0,"CAP Lite ",Mikrotik,Wireless,Access point,,0,,0,0,,0,0,,0,0,,0,0
1796,214,215,216,0,"CAT 5E ",dr.com,Cat Cables,Cat5 Cable,4 Pair,0,Offer 1,1,5900,Offer 2,2,5500,Offer 3,10,4950,,0,0
